locus,count-aa,avg-length
MYCO000161,34,1350
MYCO000162,42,1152
MYCO000163,21,456
MYCO000164,16,486
MYCO000165,13,671.538461538462
MYCO000166,48,1665
MYCO000167,18,798
MYCO000168,30,870
MYCO000169,60,1364.95
MYCO000170,26,1041
MYCO000171,55,1548.05454545455
MYCO000172,64,1593
MYCO000173,39,1172.69230769231
MYCO000174,63,1548
MYCO000175,33,642.909090909091
MYCO000176,39,969
MYCO000177,14,555
MYCO000178,28,735
MYCO000179,35,1110
MYCO000180,58,1358.53448275862
MYCO000181,24,735
MYCO000182,53,1113
MYCO000183,39,840
MYCO000184,23,749.869565217391
MYCO000185,14,510
MYCO000186,63,2075.66666666667
MYCO000187,21,663
MYCO000188,16,432
MYCO000189,36,1728
MYCO000190,7,291
MYCO000191,32,1242
MYCO000192,41,1100.70731707317
MYCO000193,76,1848.03947368421
MYCO000194,142,3584.80985915493
MYCO000195,22,636
MYCO000196,16,585.1875
MYCO000197,1,2289
MYCO000198,74,1991.95945945946
MYCO000199,17,660
MYCO000200,15,690
MYCO000201,19,504
MYCO000202,89,2901
MYCO000203,12,411
MYCO000204,30,1238.9
MYCO000205,26,1104
MYCO000206,57,2835
MYCO000207,23,729
MYCO000208,13,792
MYCO000209,42,1086.07142857143
MYCO000210,43,1479.06976744186
MYCO000211,66,1821
MYCO000212,34,972
MYCO000213,46,1313.9347826087
MYCO000214,60,1613.7
MYCO000215,29,1074
MYCO000216,30,1014
MYCO000217,34,909
MYCO000218,33,1328.90909090909
MYCO000219,23,549
MYCO000220,35,1211.57142857143
MYCO000221,41,1410
MYCO000222,23,788.608695652174
MYCO000223,62,1464
MYCO000224,12,765
MYCO000225,22,1155
MYCO000226,62,1731
MYCO000227,32,1266
MYCO000228,41,1224
MYCO000229,30,681
MYCO000230,31,981.193548387097
MYCO000231,65,1706.53846153846
MYCO000232,26,690
MYCO000233,29,945
MYCO000234,47,1536
MYCO000235,72,1448.95833333333
MYCO000236,132,4203.11363636364
MYCO000237,44,1167
MYCO000238,10,615
MYCO000239,14,234
MYCO000240,20,438
MYCO000241,36,843
MYCO000242,40,1365
MYCO000243,42,1323
MYCO000244,57,1835.63157894737
MYCO000245,23,489
MYCO000246,43,1310.79069767442
MYCO000247,16,747
MYCO000248,29,1941
MYCO000249,15,822
MYCO000250,10,293.7
MYCO000251,20,480
MYCO000252,77,2561.96103896104
MYCO000253,15,357
MYCO000254,15,525
MYCO000255,50,1484.94
MYCO000256,69,1669.95652173913
MYCO000257,20,375
MYCO000258,16,456
MYCO000259,27,744
MYCO000260,42,1146
MYCO000261,57,1410
MYCO000262,20,546
MYCO000263,26,903
MYCO000264,21,633
MYCO000265,41,993
MYCO000266,117,3629.71794871795
MYCO000267,32,1392
MYCO000268,20,510
MYCO000269,36,1194.08333333333
MYCO000270,52,1683
MYCO000271,69,2195.78260869565
MYCO000272,47,1134
MYCO000273,29,621
MYCO000274,25,582
MYCO000275,36,726.166666666667
MYCO000276,30,920.8
MYCO000277,38,429
MYCO000278,5,2870.4
MYCO000279,56,2505.10714285714
MYCO000280,64,1611.46875
MYCO000281,24,908.875
MYCO000282,39,1896
MYCO000283,47,1617.1914893617
MYCO000284,111,3993
MYCO000285,6,308.5
MYCO000286,50,1542
MYCO000287,12,294
MYCO000288,19,291
MYCO000289,41,888
MYCO000290,54,1418.94444444444
MYCO000291,43,1386
MYCO000292,33,996
MYCO000293,45,1202.93333333333
MYCO000294,29,786.103448275862
MYCO000295,23,804
MYCO000296,38,1398
MYCO000297,100,1781.04
MYCO000298,10,228
MYCO000299,15,303
MYCO000300,8,222
MYCO000301,12,426
MYCO000302,25,633
MYCO000303,34,909
MYCO000304,276,6597.47826086957
MYCO000305,8,2890.875
MYCO000306,16,672
MYCO000307,18,483
MYCO000308,26,717
MYCO000309,16,657
MYCO000310,13,492
MYCO000311,45,1230
MYCO000312,55,1863
MYCO000313,13,387
MYCO000314,30,663
MYCO000315,23,885
MYCO000316,23,615
MYCO000317,30,770.8
MYCO000318,28,794.785714285714
MYCO000319,27,669
MYCO000320,27,663
MYCO000321,10,573
MYCO000322,34,1332
MYCO000323,27,671.777777777778
MYCO000324,25,681
MYCO000325,6,225
MYCO000326,15,456
MYCO000327,49,1349.9387755102
MYCO000328,11,603
MYCO000329,22,627
MYCO000330,25,741
MYCO000331,53,1167.16981132075
MYCO000332,24,786
MYCO000333,18,375
MYCO000334,21,867
MYCO000335,18,516
MYCO000336,21,1512.28571428571
MYCO000337,22,1289.86363636364
MYCO000338,56,2648.73214285714
MYCO000339,87,2499
MYCO000340,22,540.136363636364
MYCO000341,37,1441.37837837838
MYCO000342,53,1922.94339622642
MYCO000343,50,1482
MYCO000344,8,561
MYCO000345,21,411
MYCO000346,32,1463.90625
MYCO000347,19,986.052631578947
MYCO000348,14,654
MYCO000349,26,660
MYCO000350,26,1878
MYCO000351,18,707.666666666667
MYCO000352,30,1187.5
MYCO000353,14,381
MYCO000354,1,426
MYCO000355,282,9856.67021276596
MYCO000356,32,645
MYCO000357,24,1299
MYCO000358,23,648
MYCO000359,24,780
MYCO000360,22,438
MYCO000361,19,828
MYCO000362,38,1382.92105263158
MYCO000363,23,1034.86956521739
MYCO000364,16,684
MYCO000365,34,1130.64705882353
MYCO000366,19,594
MYCO000367,16,390
MYCO000368,53,1212
MYCO000369,17,515.823529411765
MYCO000370,40,897
MYCO000371,19,594
MYCO000372,32,756
MYCO000373,94,2399.93617021277
MYCO000374,24,480
MYCO000375,16,861
MYCO000376,35,1143
MYCO000377,37,966
MYCO000378,10,222.3
MYCO000379,6,216
MYCO000380,18,552
MYCO000381,18,909
MYCO000382,10,540
MYCO000383,25,855
MYCO000384,46,2547.13043478261
MYCO000385,20,1173
MYCO000386,98,3257.87755102041
MYCO000387,19,734.684210526316
MYCO000388,4,543.75
MYCO000389,47,1259.74468085106
MYCO000390,12,423
MYCO000391,25,1221
MYCO000392,55,1413
MYCO000393,75,1328.08
MYCO000394,26,720
MYCO000395,7,405
MYCO000396,16,393
MYCO000397,39,365
MYCO000398,23,642
MYCO000399,46,1230
MYCO000400,33,1187.63636363636
MYCO000401,9,372
MYCO000402,100,2876.94
MYCO000403,10,428.4
MYCO000404,96,1758
MYCO000405,114,4209
MYCO000406,19,818.368421052632
MYCO000407,29,1011
MYCO000408,51,2073
MYCO000409,29,1157.58620689655
MYCO000410,52,2253
MYCO000411,25,987.6
MYCO000412,44,1320.20454545455
MYCO000413,20,654
MYCO000414,17,669
MYCO000415,26,1023
MYCO000416,4,207
MYCO000417,20,758.1
MYCO000418,46,1503
MYCO000419,43,1496.93023255814
MYCO000420,19,411
MYCO000421,23,629.869565217391
MYCO000422,19,798
MYCO000423,22,1644
MYCO000424,14,276
MYCO000425,125,4618.848
MYCO000426,22,444
MYCO000427,27,876.222222222222
MYCO000428,24,908.875
MYCO000429,17,594
MYCO000430,5,309
MYCO000431,10,495
MYCO000432,19,723
MYCO000433,21,1130.85714285714
MYCO000434,18,654
MYCO000435,70,2187
MYCO000436,21,861
MYCO000437,15,696
MYCO000438,43,1217.93023255814
MYCO000439,29,936
MYCO000440,15,1623
MYCO000441,12,429
MYCO000442,59,1463.13559322034
MYCO000443,16,516
MYCO000444,22,699
MYCO000445,8,564
MYCO000446,16,771
MYCO000447,40,1284
MYCO000448,18,666
MYCO000449,27,1319.77777777778
MYCO000450,74,2904
MYCO000451,16,423
MYCO000452,15,711
MYCO000453,31,1555.93548387097
MYCO000454,15,351
MYCO000455,13,447
MYCO000456,40,915
MYCO000457,62,2022
MYCO000458,59,1523.79661016949
MYCO000459,23,492
MYCO000460,8,240
MYCO000461,30,525
MYCO000462,16,1395
MYCO000463,7,294
MYCO000464,13,573
MYCO000465,54,1424.77777777778
MYCO000466,14,795
MYCO000467,19,1287
MYCO000468,23,861.260869565217
MYCO000469,37,859.702702702703
MYCO000470,18,864
MYCO000471,23,489
MYCO000472,21,707.571428571429
MYCO000473,35,1371
MYCO000474,9,422.666666666667
MYCO000475,23,599.217391304348
MYCO000476,4,264
MYCO000477,17,447
MYCO000478,30,675
MYCO000479,26,1047
MYCO000480,21,843
MYCO000481,24,524.75
MYCO000482,28,1110
MYCO000483,27,1356
MYCO000484,17,756.529411764706
MYCO000485,29,1316.1724137931
MYCO000486,35,1443.68571428571
MYCO000487,25,551.4
MYCO000488,20,606
MYCO000489,10,750
MYCO000490,20,1233
MYCO000491,9,684
MYCO000492,70,1889.87142857143
MYCO000493,45,990
MYCO000494,18,729
MYCO000495,15,891
MYCO000496,24,987
MYCO000497,29,932.896551724138
MYCO000498,21,843
MYCO000499,26,876
MYCO000500,18,888
MYCO000501,31,1131
MYCO000502,22,1077
MYCO000503,15,909
MYCO000504,9,501
MYCO000505,26,1122
MYCO000506,6,444
MYCO000507,121,2906.97520661157
MYCO000508,8,294
MYCO000509,27,1407
MYCO000510,24,930
MYCO000511,33,1698
MYCO000512,21,989.857142857143
MYCO000513,12,549
MYCO000514,18,300
MYCO000515,19,1512.31578947368
MYCO000516,12,477
MYCO000517,44,1310.93181818182
MYCO000518,20,695.85
MYCO000519,27,902.777777777778
MYCO000520,12,351
MYCO000521,10,306
MYCO000522,30,1305
MYCO000523,15,396
MYCO000524,33,1389
MYCO000525,27,609
MYCO000526,20,650.85
MYCO000527,19,780
MYCO000528,41,1590
MYCO000529,24,975
MYCO000530,43,1218
MYCO000531,7,318
MYCO000532,17,1789.94117647059
MYCO000533,24,1008
MYCO000534,27,878.777777777778
MYCO000535,18,795
MYCO000536,22,1041
MYCO000537,48,1433.875
MYCO000538,88,1636.22727272727
MYCO000539,11,633
MYCO000540,13,663
MYCO000541,38,1349.92105263158
MYCO000542,27,1089
MYCO000543,8,303
MYCO000544,10,279
MYCO000545,29,1254
MYCO000546,11,387
MYCO000547,30,885
MYCO000548,19,945
MYCO000549,12,414
MYCO000550,12,267
MYCO000551,66,1715.95454545455
MYCO000552,43,1605.06976744186
MYCO000553,32,981
MYCO000554,19,789
MYCO000555,27,1665
MYCO000556,13,516
MYCO000557,44,1137
MYCO000558,14,705
MYCO000559,13,339
MYCO000560,25,725.64
MYCO000561,23,1227
MYCO000562,25,1008
MYCO000563,24,861
MYCO000564,29,1026
MYCO000565,77,1461.03896103896
MYCO000566,13,492
MYCO000567,36,1020
MYCO000568,35,1419
MYCO000569,8,267
MYCO000570,87,2079.10344827586
MYCO000571,38,1332.07894736842
MYCO000572,14,342
MYCO000573,47,1392
MYCO000574,38,1142.60526315789
MYCO000575,29,1167
MYCO000576,38,1304.92105263158
MYCO000577,32,786
MYCO000578,129,3919.27906976744
MYCO000579,24,759
MYCO000580,17,492
MYCO000581,9,216
MYCO000582,10,408
MYCO000583,29,687.103448275862
MYCO000584,92,2633.96739130435
MYCO000585,79,2388
MYCO000586,24,722.375
MYCO000587,29,797.896551724138
MYCO000588,34,888
MYCO000589,50,1215
MYCO000590,14,828
MYCO000591,59,1446
MYCO000592,39,1527.07692307692
MYCO000593,38,1208.68421052632
MYCO000594,64,1551
MYCO000595,19,393
MYCO000596,7,258
MYCO000597,34,1236.17647058824
MYCO000598,19,414
MYCO000599,11,235.909090909091
MYCO000600,11,507
MYCO000601,24,470.875
MYCO000602,35,761.828571428571
MYCO000603,8,312
MYCO000604,30,951.2
MYCO000605,16,609
MYCO000606,24,744
MYCO000607,13,387
MYCO000608,3,246
MYCO000609,14,402
MYCO000610,36,1158
MYCO000611,15,384
MYCO000612,21,605.857142857143
MYCO000613,82,2567.89024390244
MYCO000614,34,993
MYCO000615,8,243
MYCO000616,13,267
MYCO000617,13,402
MYCO000618,22,695.863636363636
MYCO000620,41,1091.85365853659
MYCO000621,27,1065
MYCO000622,36,948
MYCO000623,5,255
MYCO000624,14,396
MYCO000625,24,740.875
MYCO000626,7,261
MYCO000627,15,408
MYCO000628,31,1153.54838709677
MYCO000629,50,1727.46
MYCO000630,90,3284.96666666667
MYCO000631,93,3294
MYCO000632,21,696
MYCO000633,33,839.727272727273
MYCO000634,17,714
MYCO000635,10,477
MYCO000636,13,429
MYCO000637,13,501
MYCO000638,20,485.7
MYCO000639,15,717
MYCO000642,27,906
MYCO000643,31,882
MYCO000644,20,864
MYCO000645,15,861
MYCO000646,32,906
MYCO000647,31,1467
MYCO000648,105,3647.48571428571
MYCO000649,26,674.653846153846
MYCO000650,26,909
MYCO000653,17,696
MYCO000654,48,1506
MYCO000655,24,1080
MYCO000656,12,383.5
MYCO000657,7,156
MYCO000658,28,717.214285714286
MYCO000659,15,309
MYCO000660,12,245.25
MYCO000661,13,438
MYCO000662,6,255
MYCO000663,84,2364
MYCO000664,9,273
MYCO000665,10,339
MYCO000666,7,174
MYCO000667,178,3518.93258426966
MYCO000668,174,3951.12068965517
MYCO000669,60,1913.8
MYCO000670,19,759
MYCO000671,36,843
MYCO000672,54,1629.5
MYCO000673,29,939
MYCO000674,13,723
MYCO000675,17,792
MYCO000676,61,2895.88524590164
MYCO000677,14,429
MYCO000678,22,498.136363636364
MYCO000679,18,498
MYCO000680,15,375
MYCO000681,23,591
MYCO000684,35,2106
MYCO000685,8,1190.625
MYCO000686,32,798.28125
MYCO000687,15,828
MYCO000688,24,1221
MYCO000689,8,255
MYCO000690,25,1050
MYCO000691,22,596.863636363636
MYCO000692,14,330
MYCO000693,27,1176
MYCO000694,26,1191
MYCO000695,17,755.294117647059
MYCO000696,33,1413
MYCO000697,34,1440
MYCO000698,19,612
MYCO000699,8,222
MYCO000711,55,2364
MYCO000712,13,900
MYCO000713,42,942
MYCO000724,50,1872
MYCO000725,26,906.576923076923
MYCO000726,57,1103.84210526316
MYCO000727,26,657
MYCO000728,35,981
MYCO000729,43,1347
MYCO000730,20,729
MYCO000731,33,957.363636363636
MYCO000732,31,1326
MYCO000733,8,546
MYCO000734,17,800.647058823529
MYCO000735,20,534
MYCO000736,31,752.612903225806
MYCO000737,8,498
MYCO000738,23,549
MYCO000739,15,807
MYCO000740,21,528
MYCO000741,9,315
MYCO000743,14,557.571428571429
MYCO000744,17,507
MYCO000745,25,528
MYCO000746,27,2349.55555555556
MYCO000747,30,2386.1
MYCO000748,15,258
MYCO000749,33,429
MYCO000750,13,246
MYCO000751,21,885
MYCO000752,35,1173
MYCO000753,42,1533
MYCO000754,57,1754.73684210526
MYCO000755,75,1937.4
MYCO000756,24,726
MYCO000757,22,744
MYCO000758,139,1457.93525179856
MYCO000759,5,333
MYCO000760,14,420
MYCO000761,18,1128
MYCO000762,17,546
MYCO000763,6,207
MYCO000764,39,1355.92307692308
MYCO000765,26,828
MYCO000766,37,1208.91891891892
MYCO000767,17,642
MYCO000768,48,1469.9375
MYCO000769,23,747
MYCO000770,23,887.869565217391
MYCO000771,15,435
MYCO000772,32,1269
MYCO000773,51,1539
MYCO000774,31,911.903225806452
MYCO000775,28,623.892857142857
MYCO000776,22,780
MYCO000777,12,1419
MYCO000778,28,1245
MYCO000779,23,621
MYCO000780,20,894
MYCO000781,1,711
MYCO000782,4,1659
MYCO000783,62,1623
MYCO000784,24,687
MYCO000785,44,1700.18181818182
MYCO000786,9,390
MYCO000787,36,960
MYCO000788,16,675
MYCO000789,18,600
MYCO000790,29,729
MYCO000791,42,1044.35714285714
MYCO000792,31,810
MYCO000793,8,306
MYCO000794,45,1503.06666666667
MYCO000795,13,326.538461538462
MYCO000797,4,1095
MYCO000798,19,798
MYCO000799,18,1008
MYCO000800,46,1302
MYCO000801,13,348
MYCO000802,30,657
MYCO000803,58,2265
MYCO000804,14,629.571428571429
MYCO000805,37,957
MYCO000806,38,1599
MYCO000807,8,390
MYCO000808,29,1584.10344827586
MYCO000809,13,1095
MYCO000810,4,183
MYCO000811,30,1107
MYCO000812,20,870
MYCO000813,27,681
MYCO000814,5,303
MYCO000815,21,834
MYCO000816,21,423.142857142857
MYCO000817,20,813
MYCO000818,16,768
MYCO000819,28,948
MYCO000820,14,777
MYCO000821,10,642
MYCO000822,54,2055
MYCO000823,36,1169.41666666667
MYCO000824,14,1017
MYCO000825,37,649.378378378378
MYCO000826,28,1056
MYCO000827,13,393
MYCO000828,21,423
MYCO000829,20,296.25
MYCO000830,24,906.25
MYCO000831,20,816
MYCO000832,9,414
MYCO000833,66,2240.31818181818
MYCO000834,85,2644.69411764706
MYCO000835,36,644.5
MYCO000836,12,653.75
MYCO000837,29,1029
MYCO000838,29,773.068965517241
MYCO000839,24,813
MYCO000840,27,860
MYCO000841,12,243
MYCO000842,47,1293.06382978723
MYCO000843,39,1005
MYCO000844,30,650.4
MYCO000845,51,1279.88235294118
MYCO000846,51,1515
MYCO000847,9,393
MYCO000848,38,1119
MYCO000849,43,1259.93023255814
MYCO000850,10,333
MYCO000851,19,828
MYCO000852,29,836.896551724138
MYCO000853,53,1683
MYCO000854,23,444
MYCO000855,36,1080
MYCO000856,16,405
MYCO000857,12,473.5
MYCO000858,48,1194
MYCO000859,39,1211.84615384615
MYCO000860,64,2163
MYCO000861,50,1629
MYCO000862,69,2271
MYCO000863,7,282
MYCO000864,16,504
MYCO000865,4,483
MYCO000866,15,426
MYCO000867,64,1218.9375
MYCO000868,11,279
MYCO000869,34,1082.91176470588
MYCO000870,13,390.461538461538
MYCO000871,4,408
MYCO000872,57,1827.10526315789
MYCO000873,62,1952.56451612903
MYCO000874,28,1159.39285714286
MYCO000875,11,489
MYCO000876,34,1647
MYCO000877,18,789
MYCO000878,33,1331.36363636364
MYCO000879,9,276
MYCO000880,11,432
MYCO000881,30,867
MYCO000882,10,285
MYCO000883,18,762
MYCO000884,27,1131
MYCO000885,28,1023
MYCO000886,51,1727.88235294118
MYCO000887,12,459
MYCO000888,54,1472.88888888889
MYCO000889,51,1121.76470588235
MYCO000890,100,2649.03
MYCO000891,28,858
MYCO000892,58,1488
MYCO000893,48,977.875
MYCO000894,37,1182
MYCO000895,45,1518.06666666667
MYCO000896,19,1296
MYCO000897,56,1608
MYCO000898,10,264
MYCO000899,30,981
MYCO000900,4,153
MYCO000901,18,528
MYCO000902,14,1341
MYCO000903,7,711
MYCO000904,30,1488
MYCO000905,21,732
MYCO000906,25,1118.88
MYCO000907,1,1599
MYCO000908,57,2394
MYCO000909,12,180
MYCO000910,12,435
MYCO000911,25,774
MYCO000912,14,450
MYCO000913,65,1509
MYCO000914,56,1238.94642857143
MYCO000915,38,1271.68421052632
MYCO000916,13,300
MYCO000917,47,1781.93617021277
MYCO000918,19,477
MYCO000919,19,501
MYCO000920,44,1319.65909090909
MYCO000921,12,582
MYCO000922,64,1653
MYCO000923,41,1065
MYCO000924,35,1287
MYCO000925,22,738
MYCO000926,40,1077
MYCO000927,26,791.192307692308
MYCO000928,25,1113
MYCO000929,15,975
MYCO000930,3,919
MYCO000931,76,1995
MYCO000932,47,1112.8085106383
MYCO000933,29,831
MYCO000934,32,1125.75
MYCO000935,29,1016.89655172414
MYCO000936,18,906
MYCO000937,12,822
MYCO000938,69,2280
MYCO000939,65,1935.36923076923
MYCO000940,32,866.90625
MYCO000941,28,774
MYCO000942,11,280.636363636364
MYCO000943,33,1041
MYCO000944,20,477
MYCO000945,32,761.8125
MYCO000946,41,1662
MYCO000947,10,231
MYCO000948,11,318
MYCO000949,59,2315.94915254237
MYCO000950,34,999.088235294118
MYCO000951,24,1164
MYCO000952,20,912
MYCO000953,25,849
MYCO000954,43,910.953488372093
MYCO000955,26,1368
MYCO000956,19,648
MYCO000957,27,1571.33333333333
MYCO000958,43,1380
MYCO000959,63,2018.66666666667
MYCO000960,6,384
MYCO000961,14,347.571428571429
MYCO000962,19,675
MYCO000963,27,800.888888888889
MYCO000964,10,483
MYCO000965,20,420
MYCO000966,16,603
MYCO000967,10,359.7
MYCO000968,11,296.727272727273
MYCO000969,75,2312.88
MYCO000970,17,633
MYCO000971,27,809.777777777778
MYCO000972,54,1166.88888888889
MYCO000973,84,2003.89285714286
MYCO000974,65,1590
MYCO000975,34,1149
MYCO000976,47,1682.6170212766
MYCO000977,69,2758.91304347826
MYCO000978,33,1005.90909090909
MYCO000979,9,193.666666666667
MYCO000980,48,1376.8125
MYCO000981,17,687
MYCO000982,42,1515
MYCO000983,40,1395
MYCO000984,10,546
MYCO000985,23,456
MYCO000986,29,747.413793103448
MYCO000987,137,2568
MYCO000988,60,1161.4
MYCO000989,61,978
MYCO000990,26,656.769230769231
MYCO000991,10,333
MYCO000992,21,594
MYCO000993,15,921
MYCO000994,23,1281
MYCO000995,30,612
MYCO000996,33,1077.27272727273
MYCO000997,13,432
MYCO000998,35,1002
MYCO000999,21,759
MYCO001000,13,618
MYCO001001,36,1209.16666666667
MYCO001002,38,1511.68421052632
MYCO001003,28,858
MYCO001004,55,1258.2
MYCO001005,18,1376.5
MYCO001006,33,1704
MYCO001007,38,1560
MYCO001008,26,795
MYCO001009,36,1089
MYCO001010,37,954
MYCO001011,21,921
MYCO001012,9,294
MYCO001013,34,1635
MYCO001014,22,576
MYCO001015,18,647.5
MYCO001016,13,681
MYCO001017,12,981
MYCO001018,33,1488
MYCO001019,14,594
MYCO001020,94,3705
MYCO001021,23,978
MYCO001022,18,732
MYCO001023,30,1290
MYCO001024,13,687
MYCO001025,14,468
MYCO001026,22,960
MYCO001027,21,681
MYCO001028,77,2583
MYCO001029,55,1716
MYCO001030,59,2130
MYCO001031,15,570
MYCO001032,48,1529.875
MYCO001033,14,773.142857142857
MYCO001034,9,390
MYCO001035,18,687.166666666667
MYCO001036,15,339
MYCO001037,30,285
MYCO001038,11,297
MYCO001039,37,1176.08108108108
MYCO001040,31,828.096774193548
MYCO001041,35,864
MYCO001042,19,408
MYCO001043,26,1026
MYCO001044,17,624
MYCO001045,23,881.608695652174
MYCO001046,1,525
MYCO001047,4,1248
MYCO001048,38,1115.92105263158
MYCO001049,18,447
MYCO001050,25,906
MYCO001051,38,755.921052631579
MYCO001052,16,390
MYCO001053,13,276
MYCO001054,9,315
MYCO001055,3,135
MYCO001056,18,764.666666666667
MYCO001057,48,1181.75
MYCO001058,43,1632
MYCO001059,39,1065
MYCO001060,15,474
MYCO001061,31,864
MYCO001062,23,858
MYCO001063,31,1083.1935483871
MYCO001064,17,420
MYCO001065,18,567
MYCO001066,12,396
MYCO001067,18,2007.83333333333
MYCO001068,17,1393.23529411765
MYCO001069,63,1764
MYCO001070,17,774
MYCO001071,31,1038
MYCO001072,19,836.842105263158
MYCO001073,32,852.65625
MYCO001074,28,1218
MYCO001075,36,945
MYCO001076,44,894
MYCO001077,37,1394.83783783784
MYCO001078,17,723
MYCO001079,18,1167
MYCO001080,9,495.333333333333
