locus,varsites
MYCO000135,580
MYCO000136,1219
MYCO000137,520
MYCO000138,474
MYCO000139,969
MYCO000140,360
MYCO000141,390
MYCO000142,858
MYCO000143,1380
MYCO000144,796
MYCO000145,893
MYCO000146,880
MYCO000147,1425
MYCO000148,821
MYCO000149,922
MYCO000150,273
MYCO000151,1654
MYCO000152,1480
MYCO000153,784
MYCO000154,1165
MYCO000155,1060
MYCO000156,317
MYCO000157,1359
MYCO000158,612
MYCO000159,1303
MYCO000160,1419
MYCO000161,1278
MYCO000162,1094
MYCO000163,426
MYCO000164,464
MYCO000165,650
MYCO000166,1593
MYCO000167,589
MYCO000168,821
MYCO000169,1279
MYCO000170,996
MYCO000171,1463
MYCO000172,1497
MYCO000173,1113
MYCO000174,1461
MYCO000175,563
MYCO000176,911
MYCO000177,533
MYCO000178,697
MYCO000179,1052
MYCO000180,1272
MYCO000181,703
MYCO000182,1047
MYCO000183,786
MYCO000184,712
MYCO000185,491
MYCO000186,1964
MYCO000187,627
MYCO000188,409
MYCO000189,1664
MYCO000190,279
MYCO000191,1179
MYCO000192,1041
MYCO000193,1747
MYCO000194,3360
MYCO000195,607
MYCO000196,561
MYCO000197,0
MYCO000198,1885
MYCO000199,632
MYCO000200,663
MYCO000201,480
MYCO000202,2766
MYCO000203,391
MYCO000204,1187
MYCO000205,1066
MYCO000206,2730
MYCO000207,688
MYCO000208,765
MYCO000209,1029
MYCO000210,1420
MYCO000211,1721
MYCO000212,923
MYCO000213,1245
MYCO000214,1521
MYCO000215,1030
MYCO000216,961
MYCO000217,859
MYCO000218,1266
MYCO000219,519
MYCO000220,1140
MYCO000221,1351
MYCO000222,745
MYCO000223,1384
MYCO000224,741
MYCO000225,1114
MYCO000226,1645
MYCO000227,1207
MYCO000228,1167
MYCO000229,644
MYCO000230,923
MYCO000231,1594
MYCO000232,653
MYCO000233,903
MYCO000234,1470
MYCO000235,1343
MYCO000236,4014
MYCO000237,1101
MYCO000238,584
MYCO000239,216
MYCO000240,417
MYCO000241,785
MYCO000242,1305
MYCO000243,1255
MYCO000244,1226
MYCO000245,457
MYCO000246,1241
MYCO000247,720
MYCO000248,1887
MYCO000249,791
MYCO000250,276
MYCO000251,446
MYCO000252,2414
MYCO000253,340
MYCO000254,505
MYCO000255,1410
MYCO000256,1548
MYCO000257,348
MYCO000258,432
MYCO000259,697
MYCO000260,1086
MYCO000261,1329
MYCO000262,523
MYCO000263,861
MYCO000264,603
MYCO000265,935
MYCO000266,3418
MYCO000267,1330
MYCO000268,478
MYCO000269,1137
MYCO000270,1603
MYCO000271,2082
MYCO000272,1069
MYCO000273,585
MYCO000274,548
MYCO000275,677
MYCO000276,845
MYCO000277,384
MYCO000278,2836
MYCO000279,2108
MYCO000280,1498
MYCO000281,870
MYCO000282,1825
MYCO000283,1540
MYCO000284,3796
MYCO000285,296
MYCO000286,1463
MYCO000287,238
MYCO000288,271
MYCO000289,824
MYCO000290,1331
MYCO000291,1316
MYCO000292,942
MYCO000293,1126
MYCO000294,744
MYCO000295,773
MYCO000296,1339
MYCO000297,1460
MYCO000298,213
MYCO000299,280
MYCO000300,213
MYCO000301,409
MYCO000302,601
MYCO000303,859
MYCO000304,5722
MYCO000305,2875
MYCO000306,647
MYCO000307,456
MYCO000308,677
MYCO000309,629
MYCO000310,471
MYCO000311,1165
MYCO000312,1785
MYCO000313,367
MYCO000314,623
MYCO000315,850
MYCO000316,581
MYCO000317,723
MYCO000318,752
MYCO000319,633
MYCO000320,627
MYCO000321,555
MYCO000322,1270
MYCO000323,631
MYCO000324,652
MYCO000325,219
MYCO000326,436
MYCO000327,1280
MYCO000328,580
MYCO000329,590
MYCO000330,703
MYCO000331,1093
MYCO000332,745
MYCO000333,354
MYCO000334,838
MYCO000335,490
MYCO000336,1496
MYCO000337,1242
MYCO000338,2525
MYCO000339,2376
MYCO000340,508
MYCO000341,1364
MYCO000342,1842
MYCO000343,1403
MYCO000344,544
MYCO000345,385
MYCO000346,1406
MYCO000347,943
MYCO000348,631
MYCO000349,628
MYCO000350,1831
MYCO000351,678
MYCO000352,1130
MYCO000353,362
MYCO000354,0
MYCO000355,8626
MYCO000356,603
MYCO000357,1243
MYCO000358,619
MYCO000359,738
MYCO000360,410
MYCO000361,795
MYCO000362,1307
MYCO000363,988
MYCO000364,652
MYCO000365,1064
MYCO000366,565
MYCO000367,371
MYCO000368,1145
MYCO000369,491
MYCO000370,840
MYCO000371,570
MYCO000372,707
MYCO000373,2264
MYCO000374,448
MYCO000375,829
MYCO000376,1086
MYCO000377,913
MYCO000378,212
MYCO000379,204
MYCO000380,529
MYCO000381,875
MYCO000382,520
MYCO000383,821
MYCO000384,2456
MYCO000385,1133
MYCO000386,3100
MYCO000387,693
MYCO000388,534
MYCO000389,1169
MYCO000390,402
MYCO000391,1178
MYCO000392,1340
MYCO000393,1243
MYCO000394,683
MYCO000395,393
MYCO000396,373
MYCO000397,320
MYCO000398,614
MYCO000399,1164
MYCO000400,1131
MYCO000401,357
MYCO000402,2733
MYCO000403,401
MYCO000404,1623
MYCO000405,4047
MYCO000406,778
MYCO000407,963
MYCO000408,1980
MYCO000409,1099
MYCO000410,2165
MYCO000411,944
MYCO000412,1260
MYCO000413,627
MYCO000414,639
MYCO000415,977
MYCO000416,201
MYCO000417,713
MYCO000418,1436
MYCO000419,1421
MYCO000420,384
MYCO000421,594
MYCO000422,763
MYCO000423,1593
MYCO000424,260
MYCO000425,4393
MYCO000426,415
MYCO000427,837
MYCO000428,876
MYCO000429,567
MYCO000430,302
MYCO000431,479
MYCO000432,697
MYCO000433,1092
MYCO000434,627
MYCO000435,2079
MYCO000436,830
MYCO000437,672
MYCO000438,1154
MYCO000439,890
MYCO000440,1575
MYCO000441,411
MYCO000442,1305
MYCO000443,495
MYCO000444,668
MYCO000445,544
MYCO000446,743
MYCO000447,1218
MYCO000448,640
MYCO000449,1268
MYCO000450,2792
MYCO000451,400
MYCO000452,682
MYCO000453,1474
MYCO000454,331
MYCO000455,427
MYCO000456,864
MYCO000457,1946
MYCO000458,1434
MYCO000459,461
MYCO000460,228
MYCO000461,487
MYCO000462,1358
MYCO000463,284
MYCO000464,552
MYCO000465,1341
MYCO000466,770
MYCO000467,1245
MYCO000468,832
MYCO000469,810
MYCO000470,834
MYCO000471,455
MYCO000472,678
MYCO000473,1321
MYCO000474,405
MYCO000475,544
MYCO000476,253
MYCO000477,425
MYCO000478,636
MYCO000479,1015
MYCO000480,807
MYCO000481,493
MYCO000482,1070
MYCO000483,1304
MYCO000484,725
MYCO000485,1254
MYCO000486,1386
MYCO000487,505
MYCO000488,576
MYCO000489,727
MYCO000490,1198
MYCO000491,669
MYCO000492,1792
MYCO000493,938
MYCO000494,692
MYCO000495,856
MYCO000496,947
MYCO000497,893
MYCO000498,801
MYCO000499,841
MYCO000500,856
MYCO000501,1085
MYCO000502,1043
MYCO000503,878
MYCO000504,487
MYCO000505,1084
MYCO000506,435
MYCO000507,2736
MYCO000508,285
MYCO000509,1355
MYCO000510,895
MYCO000511,1629
MYCO000512,955
MYCO000513,533
MYCO000514,275
MYCO000515,1496
MYCO000516,462
MYCO000517,1248
MYCO000518,666
MYCO000519,858
MYCO000520,337
MYCO000521,292
MYCO000522,1259
MYCO000523,377
MYCO000524,1330
MYCO000525,570
MYCO000526,624
MYCO000527,749
MYCO000528,1527
MYCO000529,926
MYCO000530,1155
MYCO000531,303
MYCO000532,1707
MYCO000533,973
MYCO000534,832
MYCO000535,756
MYCO000536,998
MYCO000537,1348
MYCO000538,1392
MYCO000539,611
MYCO000540,638
MYCO000541,1289
MYCO000542,1036
MYCO000543,293
MYCO000544,262
MYCO000545,1199
MYCO000546,366
MYCO000547,838
MYCO000548,915
MYCO000549,394
MYCO000550,253
MYCO000551,1629
MYCO000552,1536
MYCO000553,940
MYCO000554,755
MYCO000555,1610
MYCO000556,498
MYCO000557,1068
MYCO000558,679
MYCO000559,327
MYCO000560,679
MYCO000561,1186
MYCO000562,972
MYCO000563,823
MYCO000564,982
MYCO000565,1356
MYCO000566,472
MYCO000567,976
MYCO000568,1355
MYCO000569,256
MYCO000570,1934
MYCO000571,1282
MYCO000572,325
MYCO000573,1327
MYCO000574,1078
MYCO000575,1118
MYCO000576,1242
MYCO000577,742
MYCO000578,3472
MYCO000579,721
MYCO000580,467
MYCO000581,204
MYCO000582,394
MYCO000583,640
MYCO000584,2492
MYCO000585,2283
MYCO000586,676
MYCO000587,747
MYCO000588,839
MYCO000589,1147
MYCO000590,803
MYCO000591,1362
MYCO000592,1467
MYCO000593,1142
MYCO000594,1465
MYCO000595,368
MYCO000596,248
MYCO000597,1182
MYCO000598,394
MYCO000599,210
MYCO000600,489
MYCO000601,433
MYCO000602,709
MYCO000603,301
MYCO000604,906
MYCO000605,587
MYCO000606,712
MYCO000607,368
MYCO000608,239
MYCO000609,378
MYCO000610,1108
MYCO000611,367
MYCO000612,576
MYCO000613,2452
MYCO000614,946
MYCO000615,234
MYCO000616,246
MYCO000617,384
MYCO000618,664
MYCO000620,1028
MYCO000621,1022
MYCO000622,899
MYCO000623,246
MYCO000624,378
MYCO000625,705
MYCO000626,248
MYCO000627,392
MYCO000628,926
MYCO000629,1622
MYCO000630,3142
MYCO000631,3160
MYCO000632,667
MYCO000633,788
MYCO000634,687
MYCO000635,455
MYCO000636,405
MYCO000637,472
MYCO000638,451
MYCO000639,694
MYCO000642,865
MYCO000643,838
MYCO000644,623
MYCO000645,828
MYCO000646,862
MYCO000647,1410
MYCO000648,3430
MYCO000649,612
MYCO000650,869
MYCO000653,672
MYCO000654,1436
MYCO000655,1038
MYCO000656,361
MYCO000657,150
MYCO000658,682
MYCO000659,291
MYCO000660,221
MYCO000661,422
MYCO000662,246
MYCO000663,2235
MYCO000664,260
MYCO000665,327
MYCO000666,168
MYCO000667,3325
MYCO000668,3746
MYCO000669,1812
MYCO000670,735
MYCO000671,799
MYCO000672,1533
MYCO000673,893
MYCO000674,705
MYCO000675,760
MYCO000676,1893
MYCO000677,412
MYCO000678,473
MYCO000679,474
MYCO000680,358
MYCO000681,555
MYCO000684,2019
MYCO000685,1160
MYCO000686,760
MYCO000687,805
MYCO000688,1175
MYCO000689,244
MYCO000690,1015
MYCO000691,563
MYCO000692,311
MYCO000693,1130
MYCO000694,1152
MYCO000695,713
MYCO000696,1357
MYCO000697,1380
MYCO000698,582
MYCO000699,213
MYCO000711,2273
MYCO000712,871
MYCO000713,888
MYCO000724,1787
MYCO000725,852
MYCO000726,1030
MYCO000727,620
MYCO000728,932
MYCO000729,1283
MYCO000730,694
MYCO000731,911
MYCO000732,1273
MYCO000733,527
MYCO000734,761
MYCO000735,505
MYCO000736,698
MYCO000737,480
MYCO000738,520
MYCO000739,787
MYCO000740,496
MYCO000741,258
MYCO000743,533
MYCO000744,485
MYCO000745,497
MYCO000746,2224
MYCO000747,2074
MYCO000748,227
MYCO000749,388
MYCO000750,223
MYCO000751,848
MYCO000752,1116
MYCO000753,1467
MYCO000754,1653
MYCO000755,1725
MYCO000756,691
MYCO000757,713
MYCO000758,1290
MYCO000759,326
MYCO000760,400
MYCO000761,1097
MYCO000762,524
MYCO000763,199
MYCO000764,1303
MYCO000765,791
MYCO000766,1152
MYCO000767,612
MYCO000768,1395
MYCO000769,710
MYCO000770,852
MYCO000771,414
MYCO000772,1214
MYCO000773,1463
MYCO000774,862
MYCO000775,592
MYCO000776,748
MYCO000777,1388
MYCO000778,1193
MYCO000779,591
MYCO000780,860
MYCO000781,0
MYCO000782,1654
MYCO000783,1530
MYCO000784,654
MYCO000785,1605
MYCO000786,373
MYCO000787,914
MYCO000788,652
MYCO000789,578
MYCO000790,687
MYCO000791,989
MYCO000792,771
MYCO000793,292
MYCO000794,1432
MYCO000795,307
MYCO000797,1089
MYCO000798,766
MYCO000799,975
MYCO000800,1234
MYCO000801,331
MYCO000802,623
MYCO000803,2192
MYCO000804,603
MYCO000805,905
MYCO000806,1530
MYCO000807,377
MYCO000808,1520
MYCO000809,1067
MYCO000810,177
MYCO000811,1063
MYCO000812,835
MYCO000813,645
MYCO000814,294
MYCO000815,797
MYCO000816,398
MYCO000817,781
MYCO000818,742
MYCO000819,907
MYCO000820,753
MYCO000821,626
MYCO000822,1973
MYCO000823,1114
MYCO000824,994
MYCO000825,600
MYCO000826,1016
MYCO000827,376
MYCO000828,395
MYCO000829,241
MYCO000830,865
MYCO000831,782
MYCO000832,401
MYCO000833,1712
MYCO000834,2390
MYCO000835,581
MYCO000836,637
MYCO000837,978
MYCO000838,738
MYCO000839,783
MYCO000840,815
MYCO000841,228
MYCO000842,1229
MYCO000843,946
MYCO000844,601
MYCO000845,1200
MYCO000846,1455
MYCO000847,380
MYCO000848,1066
MYCO000849,1196
MYCO000850,318
MYCO000851,796
MYCO000852,793
MYCO000853,1611
MYCO000854,415
MYCO000855,1027
MYCO000856,384
MYCO000857,452
MYCO000858,1135
MYCO000859,1130
MYCO000860,2056
MYCO000861,1559
MYCO000862,2168
MYCO000863,272
MYCO000864,483
MYCO000865,468
MYCO000866,399
MYCO000867,1031
MYCO000868,266
MYCO000869,1035
MYCO000870,370
MYCO000871,396
MYCO000872,1626
MYCO000873,1842
MYCO000874,932
MYCO000875,472
MYCO000876,1594
MYCO000877,758
MYCO000878,1282
MYCO000879,258
MYCO000880,414
MYCO000881,827
MYCO000882,271
MYCO000883,730
MYCO000884,1089
MYCO000885,988
MYCO000886,1635
MYCO000887,444
MYCO000888,1402
MYCO000889,1047
MYCO000890,2521
MYCO000891,821
MYCO000892,1406
MYCO000893,911
MYCO000894,1125
MYCO000895,1449
MYCO000896,1236
MYCO000897,1527
MYCO000898,252
MYCO000899,945
MYCO000900,148
MYCO000901,504
MYCO000902,1317
MYCO000903,701
MYCO000904,1436
MYCO000905,703
MYCO000906,1064
MYCO000907,0
MYCO000908,2299
MYCO000909,166
MYCO000910,413
MYCO000911,728
MYCO000912,428
MYCO000913,1429
MYCO000914,1156
MYCO000915,1208
MYCO000916,285
MYCO000917,1717
MYCO000918,451
MYCO000919,476
MYCO000920,1237
MYCO000921,556
MYCO000922,1564
MYCO000923,1006
MYCO000924,1233
MYCO000925,703
MYCO000926,1018
MYCO000927,750
MYCO000928,1075
MYCO000929,946
MYCO000930,911
MYCO000931,1880
MYCO000932,1039
MYCO000933,791
MYCO000934,1071
MYCO000935,964
MYCO000936,871
MYCO000937,799
MYCO000938,2184
MYCO000939,1838
MYCO000940,827
MYCO000941,738
MYCO000942,266
MYCO000943,990
MYCO000944,451
MYCO000945,713
MYCO000946,1598
MYCO000947,216
MYCO000948,304
MYCO000949,2213
MYCO000950,952
MYCO000951,1117
MYCO000952,872
MYCO000953,807
MYCO000954,828
MYCO000955,1315
MYCO000956,621
MYCO000957,1492
MYCO000958,1315
MYCO000959,1915
MYCO000960,368
MYCO000961,326
MYCO000962,650
MYCO000963,748
MYCO000964,464
MYCO000965,394
MYCO000966,578
MYCO000967,346
MYCO000968,280
MYCO000969,2190
MYCO000970,606
MYCO000971,756
MYCO000972,1097
MYCO000973,1878
MYCO000974,1503
MYCO000975,1098
MYCO000976,1592
MYCO000977,2290
MYCO000978,919
MYCO000979,174
MYCO000980,1249
MYCO000981,660
MYCO000982,1446
MYCO000983,1329
MYCO000984,529
MYCO000985,423
MYCO000986,705
MYCO000987,2383
MYCO000988,1079
MYCO000989,899
MYCO000990,616
MYCO000991,312
MYCO000992,565
MYCO000993,891
MYCO000994,1228
MYCO000995,579
MYCO000996,1014
MYCO000997,411
MYCO000998,959
MYCO000999,727
MYCO001000,599
MYCO001001,1152
MYCO001002,1443
MYCO001003,815
MYCO001004,1147
MYCO001005,1340
MYCO001006,1637
MYCO001007,1501
MYCO001008,759
MYCO001009,1045
MYCO001010,911
MYCO001011,886
MYCO001012,280
MYCO001013,1572
MYCO001014,545
MYCO001015,611
MYCO001016,659
MYCO001017,950
MYCO001018,1425
MYCO001019,576
MYCO001020,3533
MYCO001021,945
MYCO001022,708
MYCO001023,1234
MYCO001024,662
MYCO001025,448
MYCO001026,924
MYCO001027,646
MYCO001028,2479
MYCO001029,1633
MYCO001030,2032
MYCO001031,546
MYCO001032,1453
MYCO001033,739
MYCO001034,375
MYCO001035,659
MYCO001036,320
MYCO001037,213
MYCO001038,275
MYCO001039,1125
MYCO001040,782
MYCO001041,818
MYCO001042,384
MYCO001043,981
MYCO001044,603
MYCO001045,840
MYCO001046,0
MYCO001047,1245
MYCO001048,1053
MYCO001049,422
MYCO001050,871
MYCO001051,703
MYCO001052,372
MYCO001053,263
MYCO001054,299
MYCO001055,129
MYCO001056,731
MYCO001057,1095
MYCO001058,1571
MYCO001059,1007
MYCO001060,453
MYCO001061,824
MYCO001062,822
MYCO001063,1032
MYCO001064,395
MYCO001065,539
MYCO001066,380
MYCO001067,1924
MYCO001068,1360
MYCO001069,1678
MYCO001070,747
MYCO001071,992
MYCO001072,802
MYCO001073,806
MYCO001074,1173
MYCO001075,889
MYCO001076,839
MYCO001077,1291
MYCO001078,697
MYCO001079,1134
MYCO001080,479
MYCO001081,418
MYCO001082,833
MYCO001083,256
MYCO001084,1945
MYCO001085,701
MYCO001086,757
MYCO001087,1793
MYCO001088,415
MYCO001090,431
MYCO001091,2019
MYCO001092,908
MYCO001093,1235
MYCO001094,807
MYCO001095,1243
MYCO001096,828
MYCO001097,841
MYCO001098,1384
MYCO001099,1044
MYCO001100,668
MYCO001101,1118
MYCO001102,303
MYCO001103,308
MYCO001104,650
MYCO001105,493
MYCO001106,1073
MYCO001107,249
MYCO001108,1201
MYCO001109,620
MYCO001110,974
MYCO001111,955
MYCO001112,1031
MYCO001113,195
MYCO001114,358
MYCO001115,651
MYCO001116,178
MYCO001117,313
MYCO001118,812
MYCO001119,143
MYCO001120,470
MYCO001121,1322
MYCO001122,984
MYCO001123,861
MYCO001124,907
MYCO001125,1191
MYCO001126,581
MYCO001127,1413
MYCO001128,1295
MYCO001129,1358
MYCO001130,1509
MYCO001131,1133
MYCO001132,1647
MYCO001133,2213
MYCO001134,221
MYCO001135,1616
MYCO001136,325
MYCO001137,358
MYCO001138,975
MYCO001139,462
MYCO001140,816
MYCO001141,599
MYCO001142,603
MYCO001143,1038
MYCO001144,717
MYCO001145,891
MYCO001146,1358
MYCO001147,618
MYCO001148,1388
MYCO001149,384
MYCO001151,688
MYCO001152,350
MYCO001153,808
MYCO001154,609
MYCO001155,425
MYCO001156,563
MYCO001157,1064
MYCO001158,653
MYCO001159,1249
MYCO001160,406
MYCO001161,3556
MYCO001162,1606
MYCO001163,582
MYCO001164,713
MYCO001165,1804
MYCO001166,1849
MYCO001167,589
MYCO001168,976
MYCO001169,288
MYCO001170,859
MYCO001171,406
MYCO001172,879
MYCO001173,2468
MYCO001174,313
MYCO001175,1928
MYCO001176,545
MYCO001177,321
MYCO001178,1031
MYCO001179,2645
MYCO001180,0
MYCO001181,4556
MYCO001182,1363
MYCO001183,2856
MYCO001184,1036
MYCO001185,1678
MYCO001186,1536
MYCO001187,1564
MYCO001188,934
MYCO001189,837
MYCO001190,837
MYCO001191,879
MYCO001192,797
MYCO001193,1370
MYCO001194,1195
MYCO001195,279
MYCO001196,973
MYCO001197,275
MYCO001198,212
MYCO001199,1244
MYCO001200,1189
MYCO001201,916
MYCO001202,1029
MYCO001203,552
MYCO001204,1616
MYCO001205,540
MYCO001206,1720
MYCO001207,890
MYCO001208,943
MYCO001209,353
MYCO001210,601
MYCO001211,223
MYCO001212,1120
MYCO001213,1156
MYCO001214,318
MYCO001215,1590
MYCO001216,648
MYCO001217,1553
MYCO001218,883
MYCO001219,611
MYCO001220,629
MYCO001221,749
MYCO001222,444
MYCO001223,1509
MYCO001224,374
MYCO001225,792
MYCO001226,1358
MYCO001227,505
MYCO001228,526
MYCO001229,1123
MYCO001230,1153
MYCO001231,492
MYCO001232,1249
MYCO001233,557
MYCO001234,505
MYCO001235,1358
MYCO001236,881
MYCO001237,795
MYCO001238,1147
MYCO001239,1060
MYCO001240,948
MYCO001241,251
MYCO001242,414
MYCO001243,1544
MYCO001244,817
MYCO001245,786
MYCO001246,279
MYCO001247,261
MYCO001248,3547
MYCO001249,747
MYCO001250,1666
MYCO001251,3310
MYCO001252,589
MYCO001253,1608
MYCO001254,1109
MYCO001255,580
MYCO001256,1158
MYCO001257,1277
MYCO001258,1203
MYCO001259,854
MYCO001260,1087
MYCO001261,433
MYCO001262,406
MYCO001263,1304
MYCO001264,1118
MYCO001265,657
MYCO001266,1788
MYCO001267,1113
MYCO001268,649
MYCO001269,351
MYCO001270,703
MYCO001271,326
MYCO001272,1821
MYCO001273,1682
MYCO001274,538
MYCO001275,517
MYCO001276,447
MYCO001277,1211
MYCO001278,2525
MYCO001279,1509
MYCO001280,1693
MYCO001281,1774
MYCO001282,838
MYCO001283,946
MYCO001284,474
MYCO001285,937
MYCO001286,1755
MYCO001287,473
MYCO001288,1293
MYCO001289,603
MYCO001290,1492
MYCO001291,321
MYCO001292,1588
MYCO001293,1291
MYCO001294,1276
MYCO001295,1042
MYCO001296,909
MYCO001297,1751
MYCO001299,1054
MYCO001300,939
MYCO001301,637
MYCO001302,1176
MYCO001303,469
MYCO001304,718
MYCO001305,237
MYCO001306,496
MYCO001307,1280
MYCO001308,1595
MYCO001309,881
MYCO001310,1425
MYCO001311,340
MYCO001312,423
MYCO001313,1302
MYCO001314,546
MYCO001315,1219
MYCO001316,468
MYCO001317,1403
MYCO001318,1509
MYCO001319,1319
MYCO001320,1604
MYCO001321,655
MYCO001322,277
MYCO001323,1126
MYCO001324,873
MYCO001325,1634
MYCO001326,2117
MYCO001327,2040
MYCO001328,2489
MYCO001329,1905
MYCO001330,1277
MYCO001331,295
MYCO001332,629
MYCO001333,993
MYCO001334,428
MYCO001335,268
MYCO001336,938
MYCO001337,696
MYCO001338,787
MYCO001339,794
MYCO001340,756
MYCO001341,589
MYCO001342,345
MYCO001343,350
MYCO001344,307
MYCO001345,1498
MYCO001346,1127
MYCO001347,600
MYCO001348,2485
MYCO001349,1683
MYCO001350,709
MYCO001351,310
MYCO001352,349
MYCO001353,749
MYCO001354,1768
MYCO001355,2031
MYCO001356,741
MYCO001357,879
MYCO001358,3315
MYCO001359,730
MYCO001360,991
MYCO001361,969
MYCO001362,633
MYCO001363,730
MYCO001364,1880
MYCO001365,369
MYCO001366,785
MYCO001367,1077
MYCO001368,752
MYCO001370,307
MYCO001371,1422
MYCO001372,1115
MYCO001373,940
MYCO001374,422
MYCO001375,1235
MYCO001376,1426
MYCO001377,617
MYCO001378,1350
MYCO001379,561
MYCO001380,926
MYCO001381,1237
MYCO001382,472
MYCO001383,1089
MYCO001384,3197
MYCO001385,785
MYCO001386,288
MYCO001387,1547
MYCO001388,546
MYCO001389,593
MYCO001390,321
MYCO001391,1194
MYCO001392,1142
MYCO001393,1420
MYCO001394,1321
MYCO001395,987
MYCO001396,1597
MYCO001397,382
MYCO001398,244
MYCO001399,902
MYCO001400,921
MYCO001401,570
MYCO001402,1891
MYCO001403,786
MYCO001404,462
MYCO001405,789
MYCO001406,898
MYCO001407,1304
MYCO001408,676
MYCO001409,988
MYCO001410,1508
MYCO001411,670
MYCO001412,580
MYCO001413,482
MYCO001414,381
MYCO001415,1242
MYCO001416,462
MYCO001417,440
MYCO001418,658
MYCO001419,445
MYCO001420,1869
MYCO001421,871
MYCO001422,990
MYCO001423,932
MYCO001424,724
MYCO001425,1318
MYCO001426,1197
MYCO001427,1531
MYCO001428,786
MYCO001429,1209
MYCO001430,1513
MYCO001431,1680
MYCO001432,1376
MYCO001433,782
MYCO001434,133
MYCO001435,512
MYCO001436,990
MYCO001437,1200
MYCO001438,755
MYCO001439,403
MYCO001440,225
MYCO001441,1143
MYCO001442,2167
MYCO001443,467
MYCO001444,388
MYCO001445,709
MYCO001446,862
MYCO001447,1443
MYCO001448,1077
MYCO001449,2014
MYCO001450,3979
MYCO001451,891
MYCO001452,2003
MYCO001453,1206
MYCO001454,935
MYCO001455,819
MYCO001456,891
MYCO001457,746
MYCO001458,893
MYCO001459,1700
MYCO001460,779
MYCO001461,2431
MYCO001462,1143
MYCO001463,771
MYCO001464,1201
MYCO001465,476
MYCO001466,340
MYCO001467,1228
MYCO001468,1015
MYCO001469,1853
MYCO001470,360
MYCO001471,357
MYCO001472,811
MYCO001473,1573
MYCO001474,544
MYCO001475,2736
MYCO001476,534
MYCO001477,1362
MYCO001478,693
MYCO001479,1084
MYCO001480,910
MYCO001481,963
MYCO001482,802
MYCO001483,725
