locus,varsites
MYCO000150,83
MYCO000151,513
MYCO000152,464
MYCO000153,250
MYCO000154,375
MYCO000155,342
MYCO000156,101
MYCO000157,437
MYCO000158,193
MYCO000159,402
MYCO000160,441
MYCO000161,417
MYCO000162,342
MYCO000163,131
MYCO000164,146
MYCO000165,210
MYCO000166,509
MYCO000167,188
MYCO000168,261
MYCO000169,397
MYCO000170,322
MYCO000171,459
MYCO000172,468
MYCO000173,351
MYCO000174,454
MYCO000175,175
MYCO000176,287
MYCO000177,171
MYCO000178,218
MYCO000179,337
MYCO000180,396
MYCO000181,221
MYCO000182,321
MYCO000183,243
MYCO000184,228
MYCO000185,156
MYCO000186,627
MYCO000187,199
MYCO000188,129
MYCO000189,543
MYCO000190,90
MYCO000191,383
MYCO000192,326
MYCO000193,544
MYCO000194,1045
MYCO000195,192
MYCO000196,182
MYCO000197,0
MYCO000198,592
MYCO000199,203
MYCO000200,216
MYCO000201,150
MYCO000202,880
MYCO000203,125
MYCO000204,383
MYCO000205,344
MYCO000206,887
MYCO000207,219
MYCO000208,251
MYCO000209,322
MYCO000210,455
MYCO000211,546
MYCO000212,293
MYCO000213,395
MYCO000214,477
MYCO000215,329
MYCO000216,308
MYCO000217,269
MYCO000218,411
MYCO000219,160
MYCO000220,369
MYCO000221,432
MYCO000222,239
MYCO000223,426
MYCO000224,243
MYCO000225,363
MYCO000226,520
MYCO000227,389
MYCO000228,367
MYCO000229,198
MYCO000230,295
MYCO000231,505
MYCO000232,205
MYCO000233,286
MYCO000234,467
MYCO000235,415
MYCO000236,1278
MYCO000237,346
MYCO000238,195
MYCO000239,64
MYCO000240,128
MYCO000241,245
MYCO000242,419
MYCO000243,399
MYCO000244,362
MYCO000245,142
MYCO000246,395
MYCO000247,234
MYCO000248,619
MYCO000249,258
MYCO000250,88
MYCO000251,142
MYCO000252,778
MYCO000253,104
MYCO000254,160
MYCO000255,449
MYCO000256,474
MYCO000257,101
MYCO000258,138
MYCO000259,221
MYCO000260,343
MYCO000261,415
MYCO000262,162
MYCO000263,276
MYCO000264,190
MYCO000265,293
MYCO000266,1067
MYCO000267,436
MYCO000268,152
MYCO000269,363
MYCO000270,514
MYCO000271,661
MYCO000272,331
MYCO000273,180
MYCO000274,170
MYCO000275,210
MYCO000276,263
MYCO000277,120
MYCO000278,946
MYCO000279,694
MYCO000280,478
MYCO000281,280
MYCO000282,597
MYCO000283,495
MYCO000284,1222
MYCO000285,97
MYCO000286,467
MYCO000287,80
MYCO000288,81
MYCO000289,257
MYCO000290,427
MYCO000291,421
MYCO000292,300
MYCO000293,353
MYCO000294,234
MYCO000295,247
MYCO000296,429
MYCO000297,464
MYCO000298,67
MYCO000299,86
MYCO000300,66
MYCO000301,131
MYCO000302,187
MYCO000303,274
MYCO000304,1815
MYCO000305,884
MYCO000306,208
MYCO000307,143
MYCO000308,215
MYCO000309,203
MYCO000310,151
MYCO000311,364
MYCO000312,567
MYCO000313,116
MYCO000314,192
MYCO000315,274
MYCO000316,182
MYCO000317,226
MYCO000318,237
MYCO000319,197
MYCO000320,194
MYCO000321,181
MYCO000322,409
MYCO000323,198
MYCO000324,203
MYCO000325,69
MYCO000326,136
MYCO000327,403
MYCO000328,190
MYCO000329,188
MYCO000330,223
MYCO000331,344
MYCO000332,238
MYCO000333,108
MYCO000334,268
MYCO000335,155
MYCO000336,490
MYCO000337,408
MYCO000338,822
MYCO000339,753
MYCO000340,159
MYCO000341,441
MYCO000342,587
MYCO000343,445
MYCO000344,179
MYCO000345,117
MYCO000346,455
MYCO000347,307
MYCO000348,204
MYCO000349,194
MYCO000350,601
MYCO000351,216
MYCO000352,367
MYCO000353,114
MYCO000354,0
MYCO000355,2689
MYCO000356,184
MYCO000357,409
MYCO000358,193
MYCO000359,235
MYCO000360,125
MYCO000361,257
MYCO000362,424
MYCO000363,323
MYCO000364,212
MYCO000365,342
MYCO000366,179
MYCO000367,115
MYCO000368,356
MYCO000369,151
MYCO000370,263
MYCO000371,179
MYCO000372,223
MYCO000373,711
MYCO000374,137
MYCO000375,271
MYCO000376,348
MYCO000377,287
MYCO000378,66
MYCO000379,66
MYCO000380,167
MYCO000381,285
MYCO000382,170
MYCO000383,261
MYCO000384,807
MYCO000385,371
MYCO000386,987
MYCO000387,186
MYCO000388,164
MYCO000389,364
MYCO000390,130
MYCO000391,382
MYCO000392,420
MYCO000393,395
MYCO000394,215
MYCO000395,128
MYCO000396,118
MYCO000397,101
MYCO000398,192
MYCO000399,366
MYCO000400,362
MYCO000401,115
MYCO000402,861
MYCO000403,129
MYCO000404,501
MYCO000405,1294
MYCO000406,253
MYCO000407,310
MYCO000408,641
MYCO000409,356
MYCO000410,674
MYCO000411,305
MYCO000412,401
MYCO000413,198
MYCO000414,207
MYCO000415,316
MYCO000416,65
MYCO000417,227
MYCO000418,457
MYCO000419,443
MYCO000420,119
MYCO000421,188
MYCO000422,247
MYCO000423,527
MYCO000424,78
MYCO000425,1417
MYCO000426,127
MYCO000427,268
MYCO000428,279
MYCO000429,181
MYCO000430,98
MYCO000431,155
MYCO000432,223
MYCO000433,355
MYCO000434,200
MYCO000435,662
MYCO000436,266
MYCO000437,217
MYCO000438,363
MYCO000439,284
MYCO000440,526
MYCO000441,131
MYCO000442,411
MYCO000443,157
MYCO000444,213
MYCO000445,180
MYCO000446,241
MYCO000447,388
MYCO000448,204
MYCO000449,412
MYCO000450,895
MYCO000451,127
MYCO000452,224
MYCO000453,479
MYCO000454,103
MYCO000455,137
MYCO000456,268
MYCO000457,616
MYCO000458,448
MYCO000459,141
MYCO000460,73
MYCO000461,59
MYCO000462,449
MYCO000463,92
MYCO000464,178
MYCO000465,420
MYCO000466,252
MYCO000467,409
MYCO000468,265
MYCO000469,252
MYCO000470,271
MYCO000471,140
MYCO000472,216
MYCO000473,422
MYCO000474,132
MYCO000475,165
MYCO000476,84
MYCO000477,133
MYCO000478,196
MYCO000479,324
MYCO000480,260
MYCO000481,151
MYCO000482,344
MYCO000483,425
MYCO000484,236
MYCO000485,408
MYCO000486,450
MYCO000487,159
MYCO000488,182
MYCO000489,241
MYCO000490,392
MYCO000491,220
MYCO000492,564
MYCO000493,291
MYCO000494,226
MYCO000495,283
MYCO000496,305
MYCO000497,282
MYCO000498,261
MYCO000499,269
MYCO000500,279
MYCO000501,347
MYCO000502,338
MYCO000503,289
MYCO000504,158
MYCO000505,349
MYCO000506,142
MYCO000507,849
MYCO000508,90
MYCO000509,443
MYCO000510,287
MYCO000511,535
MYCO000512,311
MYCO000513,173
MYCO000514,81
MYCO000515,490
MYCO000516,147
MYCO000517,394
MYCO000518,212
MYCO000519,275
MYCO000520,106
MYCO000521,92
MYCO000522,406
MYCO000523,118
MYCO000524,430
MYCO000525,176
MYCO000526,197
MYCO000527,241
MYCO000528,490
MYCO000529,300
MYCO000530,364
MYCO000531,99
MYCO000532,560
MYCO000533,312
MYCO000534,264
MYCO000535,246
MYCO000536,327
MYCO000537,432
MYCO000538,448
MYCO000539,201
MYCO000540,208
MYCO000541,414
MYCO000542,336
MYCO000543,94
MYCO000544,82
MYCO000545,389
MYCO000546,119
MYCO000547,265
MYCO000548,296
MYCO000549,126
MYCO000550,79
MYCO000551,511
MYCO000552,496
MYCO000553,297
MYCO000554,245
MYCO000555,528
MYCO000556,159
MYCO000557,335
MYCO000558,221
MYCO000559,100
MYCO000560,212
MYCO000561,387
MYCO000562,314
MYCO000563,266
MYCO000564,313
MYCO000565,414
MYCO000566,152
MYCO000567,307
MYCO000568,439
MYCO000569,81
MYCO000570,602
MYCO000571,409
MYCO000572,101
MYCO000573,423
MYCO000574,342
MYCO000575,360
MYCO000576,397
MYCO000577,232
MYCO000578,1125
MYCO000579,228
MYCO000580,147
MYCO000581,63
MYCO000582,126
MYCO000583,199
MYCO000584,785
MYCO000585,720
MYCO000586,214
MYCO000587,239
MYCO000588,262
MYCO000589,355
MYCO000590,262
MYCO000591,426
MYCO000592,472
MYCO000593,363
MYCO000594,455
MYCO000595,112
MYCO000596,79
MYCO000597,380
MYCO000598,119
MYCO000599,65
MYCO000600,158
MYCO000601,135
MYCO000602,221
MYCO000603,97
MYCO000604,292
MYCO000605,188
MYCO000606,224
MYCO000607,116
MYCO000608,79
MYCO000609,120
MYCO000610,351
MYCO000611,114
MYCO000612,182
MYCO000613,785
MYCO000614,298
MYCO000615,73
MYCO000616,76
MYCO000617,121
MYCO000618,212
MYCO000620,324
MYCO000621,328
MYCO000622,281
MYCO000623,80
MYCO000624,120
MYCO000625,223
MYCO000626,80
MYCO000627,121
MYCO000628,288
MYCO000629,520
MYCO000630,1006
MYCO000631,1009
MYCO000632,212
MYCO000633,247
MYCO000634,221
MYCO000635,150
MYCO000636,130
MYCO000637,154
MYCO000638,142
MYCO000639,224
MYCO000642,276
MYCO000643,263
MYCO000644,195
MYCO000645,272
MYCO000646,270
MYCO000647,458
MYCO000648,1093
MYCO000649,189
MYCO000650,279
MYCO000653,215
MYCO000654,454
MYCO000655,337
MYCO000656,115
MYCO000657,45
MYCO000658,214
MYCO000659,89
MYCO000660,69
MYCO000661,134
MYCO000662,79
MYCO000663,703
MYCO000664,82
MYCO000665,103
MYCO000666,51
MYCO000667,1051
MYCO000668,1179
MYCO000669,577
MYCO000670,235
MYCO000671,246
MYCO000672,488
MYCO000673,285
MYCO000674,230
MYCO000675,246
MYCO000676,584
MYCO000677,129
MYCO000678,145
MYCO000679,150
MYCO000680,110
MYCO000681,174
MYCO000684,668
MYCO000685,384
MYCO000686,237
MYCO000687,263
MYCO000688,383
MYCO000689,77
MYCO000690,325
MYCO000691,177
MYCO000692,97
MYCO000693,364
MYCO000694,371
MYCO000695,232
MYCO000696,440
MYCO000697,449
MYCO000698,185
MYCO000699,66
MYCO000711,734
MYCO000712,287
MYCO000713,274
MYCO000724,573
MYCO000725,272
MYCO000726,310
MYCO000727,194
MYCO000728,293
MYCO000729,406
MYCO000730,224
MYCO000731,287
MYCO000732,411
MYCO000733,174
MYCO000734,244
MYCO000735,158
MYCO000736,222
MYCO000737,158
MYCO000738,161
MYCO000739,254
MYCO000740,156
MYCO000741,84
MYCO000743,171
MYCO000744,153
MYCO000745,154
MYCO000746,727
MYCO000747,694
MYCO000748,71
MYCO000749,122
MYCO000750,68
MYCO000751,273
MYCO000752,358
MYCO000753,469
MYCO000754,532
MYCO000755,545
MYCO000756,218
MYCO000757,228
MYCO000758,366
MYCO000759,106
MYCO000760,127
MYCO000761,359
MYCO000762,166
MYCO000763,63
MYCO000764,412
MYCO000765,252
MYCO000766,367
MYCO000767,199
MYCO000768,445
MYCO000769,225
MYCO000770,276
MYCO000771,131
MYCO000772,390
MYCO000773,466
MYCO000774,274
MYCO000775,181
MYCO000776,237
MYCO000777,461
MYCO000778,388
MYCO000779,184
MYCO000780,278
MYCO000781,0
MYCO000782,549
MYCO000783,480
MYCO000784,205
MYCO000785,518
MYCO000786,122
MYCO000787,287
MYCO000788,210
MYCO000789,182
MYCO000790,215
MYCO000791,309
MYCO000792,241
MYCO000793,92
MYCO000794,459
MYCO000795,96
MYCO000797,360
MYCO000798,246
MYCO000799,318
MYCO000800,389
MYCO000801,104
MYCO000802,191
MYCO000803,709
MYCO000804,195
MYCO000805,286
MYCO000806,495
MYCO000807,122
MYCO000808,501
MYCO000809,352
MYCO000810,57
MYCO000811,341
MYCO000812,271
MYCO000813,200
MYCO000814,96
MYCO000815,259
MYCO000816,123
MYCO000817,251
MYCO000818,241
MYCO000819,290
MYCO000820,245
MYCO000821,204
MYCO000822,631
MYCO000823,356
MYCO000824,325
MYCO000825,187
MYCO000826,325
MYCO000827,119
MYCO000828,122
MYCO000829,70
MYCO000830,283
MYCO000831,252
MYCO000832,129
MYCO000833,0
MYCO000834,765
MYCO000835,179
MYCO000836,206
MYCO000837,313
MYCO000838,233
MYCO000839,247
MYCO000840,260
MYCO000841,69
MYCO000842,385
MYCO000843,297
MYCO000844,186
MYCO000845,378
MYCO000846,457
MYCO000847,122
MYCO000848,337
MYCO000849,377
MYCO000850,101
MYCO000851,257
MYCO000852,251
MYCO000853,509
MYCO000854,126
MYCO000855,324
MYCO000856,119
MYCO000857,146
MYCO000858,353
MYCO000859,361
MYCO000860,657
MYCO000861,498
MYCO000862,689
MYCO000863,87
MYCO000864,152
MYCO000865,157
MYCO000866,127
MYCO000867,254
MYCO000868,82
MYCO000869,331
MYCO000870,118
MYCO000871,131
MYCO000872,528
MYCO000873,585
MYCO000874,290
MYCO000875,152
MYCO000876,516
MYCO000877,246
MYCO000878,414
MYCO000879,84
MYCO000880,133
MYCO000881,261
MYCO000882,86
MYCO000883,237
MYCO000884,351
MYCO000885,314
MYCO000886,521
MYCO000887,142
MYCO000888,439
MYCO000889,321
MYCO000890,794
MYCO000891,257
MYCO000892,439
MYCO000893,280
MYCO000894,357
MYCO000895,454
MYCO000896,412
MYCO000897,484
MYCO000898,78
MYCO000899,299
MYCO000900,47
MYCO000901,158
MYCO000902,433
MYCO000903,230
MYCO000904,467
MYCO000905,225
MYCO000906,347
MYCO000907,0
MYCO000908,741
MYCO000909,48
MYCO000910,133
MYCO000911,233
MYCO000912,136
MYCO000913,444
MYCO000914,360
MYCO000915,385
MYCO000916,87
MYCO000917,548
MYCO000918,140
MYCO000919,149
MYCO000920,394
MYCO000921,183
MYCO000922,493
MYCO000923,314
MYCO000924,397
MYCO000925,224
MYCO000926,320
MYCO000927,243
MYCO000928,348
MYCO000929,310
MYCO000930,303
MYCO000931,587
MYCO000932,322
MYCO000933,248
MYCO000934,342
MYCO000935,310
MYCO000936,284
MYCO000937,262
MYCO000938,692
MYCO000939,580
MYCO000940,260
MYCO000941,230
MYCO000942,84
MYCO000943,315
MYCO000944,140
MYCO000945,226
MYCO000946,515
MYCO000947,68
MYCO000948,96
MYCO000949,708
MYCO000950,300
MYCO000951,365
MYCO000952,284
MYCO000953,258
MYCO000954,258
MYCO000955,428
MYCO000956,198
MYCO000957,491
MYCO000958,416
MYCO000959,613
MYCO000960,122
MYCO000961,101
MYCO000962,207
MYCO000963,236
MYCO000964,151
MYCO000965,120
MYCO000966,185
MYCO000967,110
MYCO000968,88
MYCO000969,697
MYCO000970,195
MYCO000971,236
MYCO000972,337
MYCO000973,584
MYCO000974,469
MYCO000975,349
MYCO000976,505
MYCO000977,755
MYCO000978,299
MYCO000979,54
MYCO000980,401
MYCO000981,212
MYCO000982,464
MYCO000983,426
MYCO000984,172
MYCO000985,130
MYCO000986,223
MYCO000987,730
MYCO000988,333
MYCO000989,268
MYCO000990,188
MYCO000991,100
MYCO000992,180
MYCO000993,292
MYCO000994,405
MYCO000995,176
MYCO000996,325
MYCO000997,131
MYCO000998,301
MYCO000999,233
MYCO001000,194
MYCO001001,370
MYCO001002,466
MYCO001003,258
MYCO001004,328
MYCO001005,439
MYCO001006,536
MYCO001007,486
MYCO001008,241
MYCO001009,328
MYCO001010,285
MYCO001011,286
MYCO001012,89
MYCO001013,512
MYCO001014,171
MYCO001015,196
MYCO001016,215
MYCO001017,316
MYCO001018,464
MYCO001019,184
MYCO001020,1141
MYCO001021,304
MYCO001022,228
MYCO001023,403
MYCO001024,216
MYCO001025,144
MYCO001026,300
MYCO001027,206
MYCO001028,788
MYCO001029,519
MYCO001030,651
MYCO001031,175
MYCO001032,464
MYCO001033,241
MYCO001034,122
MYCO001035,212
MYCO001036,98
MYCO001037,69
MYCO001038,91
MYCO001039,357
MYCO001040,239
MYCO001041,258
MYCO001042,120
MYCO001043,317
MYCO001044,191
MYCO001045,268
MYCO001046,0
MYCO001047,413
MYCO001048,338
MYCO001049,134
MYCO001050,278
MYCO001051,218
MYCO001052,115
MYCO001053,79
MYCO001054,96
MYCO001055,42
MYCO001056,237
MYCO001057,348
MYCO001058,502
MYCO001059,318
MYCO001060,143
MYCO001061,258
MYCO001062,263
MYCO001063,332
MYCO001064,123
MYCO001065,173
MYCO001066,120
MYCO001067,634
MYCO001068,448
MYCO001069,527
MYCO001070,242
MYCO001071,317
MYCO001072,261
MYCO001073,253
MYCO001074,378
MYCO001075,278
MYCO001076,256
MYCO001077,411
MYCO001078,224
MYCO001079,371
MYCO001080,157
MYCO001081,134
MYCO001082,270
MYCO001083,84
MYCO001084,638
MYCO001085,226
MYCO001086,246
MYCO001087,584
MYCO001088,134
MYCO001090,135
MYCO001091,656
MYCO001092,296
MYCO001093,405
MYCO001094,266
MYCO001095,404
MYCO001096,255
MYCO001097,264
MYCO001098,449
MYCO001099,337
MYCO001100,178
MYCO001101,359
MYCO001102,96
MYCO001103,97
MYCO001104,206
MYCO001105,151
MYCO001106,348
MYCO001107,77
MYCO001108,390
MYCO001109,199
MYCO001110,318
MYCO001111,308
MYCO001112,330
MYCO001113,63
MYCO001114,114
MYCO001115,202
MYCO001116,56
MYCO001117,101
MYCO001118,258
MYCO001119,44
MYCO001120,151
MYCO001121,422
MYCO001122,313
MYCO001123,275
MYCO001124,291
MYCO001125,382
MYCO001126,185
MYCO001127,459
MYCO001128,408
MYCO001129,416
MYCO001130,493
MYCO001131,376
MYCO001132,522
MYCO001133,726
MYCO001134,68
MYCO001135,511
MYCO001136,100
MYCO001137,115
MYCO001138,311
MYCO001139,147
MYCO001140,259
MYCO001141,178
MYCO001142,185
MYCO001143,332
MYCO001144,235
MYCO001145,288
MYCO001146,435
MYCO001147,195
MYCO001148,463
MYCO001149,120
MYCO001151,220
MYCO001152,110
MYCO001153,252
MYCO001154,194
MYCO001155,137
MYCO001156,179
MYCO001157,348
MYCO001158,206
MYCO001159,399
MYCO001160,129
MYCO001161,1162
MYCO001162,512
MYCO001163,193
MYCO001164,229
MYCO001165,580
MYCO001166,603
MYCO001167,190
MYCO001168,304
MYCO001169,91
MYCO001170,272
MYCO001171,130
MYCO001172,276
MYCO001173,792
MYCO001174,96
MYCO001175,615
MYCO001176,175
MYCO001177,105
MYCO001178,327
MYCO001179,763
MYCO001180,0
MYCO001181,1481
MYCO001182,448
MYCO001183,918
MYCO001184,333
MYCO001185,542
MYCO001186,491
MYCO001187,504
MYCO001188,293
MYCO001189,264
MYCO001190,271
MYCO001191,282
MYCO001192,255
MYCO001193,442
MYCO001194,363
MYCO001195,87
MYCO001196,286
MYCO001197,91
MYCO001198,68
MYCO001199,412
MYCO001200,382
MYCO001201,293
MYCO001202,333
MYCO001203,169
MYCO001204,518
MYCO001205,178
MYCO001206,559
MYCO001207,287
MYCO001208,309
MYCO001209,115
MYCO001210,197
MYCO001211,73
MYCO001212,360
MYCO001213,373
MYCO001214,99
MYCO001215,492
MYCO001216,207
MYCO001217,493
MYCO001218,279
MYCO001219,195
MYCO001220,203
MYCO001221,243
MYCO001222,139
MYCO001223,479
MYCO001224,117
MYCO001225,250
MYCO001226,428
MYCO001227,157
MYCO001228,162
MYCO001229,352
MYCO001230,364
MYCO001231,150
MYCO001232,402
MYCO001233,90
MYCO001234,160
MYCO001235,441
MYCO001236,274
MYCO001237,254
MYCO001238,376
MYCO001239,341
MYCO001240,307
MYCO001241,79
MYCO001242,134
MYCO001243,503
MYCO001244,258
MYCO001245,248
MYCO001246,85
MYCO001247,83
MYCO001248,1141
MYCO001249,233
MYCO001250,528
MYCO001251,1066
MYCO001252,193
MYCO001253,508
MYCO001254,360
MYCO001255,183
MYCO001256,369
MYCO001257,410
MYCO001258,370
MYCO001259,276
MYCO001260,349
MYCO001261,139
MYCO001262,128
MYCO001263,410
MYCO001264,354
MYCO001265,207
MYCO001266,560
MYCO001267,351
MYCO001268,201
MYCO001269,108
MYCO001270,226
MYCO001271,103
MYCO001272,583
MYCO001273,537
MYCO001274,173
MYCO001275,166
MYCO001276,137
MYCO001277,396
MYCO001278,813
MYCO001279,485
MYCO001280,547
MYCO001281,571
MYCO001282,271
MYCO001283,305
MYCO001284,154
MYCO001285,293
MYCO001286,555
MYCO001287,155
MYCO001288,408
MYCO001289,188
MYCO001290,478
MYCO001291,102
MYCO001292,514
MYCO001293,419
MYCO001294,419
MYCO001295,336
MYCO001296,293
MYCO001297,574
MYCO001299,348
MYCO001300,300
MYCO001301,208
MYCO001302,388
MYCO001303,153
MYCO001304,230
MYCO001305,77
MYCO001306,156
MYCO001307,410
MYCO001308,519
MYCO001309,282
MYCO001310,469
MYCO001311,105
MYCO001312,138
MYCO001313,419
MYCO001314,170
MYCO001315,401
MYCO001316,145
MYCO001317,441
MYCO001318,477
MYCO001319,400
MYCO001320,494
MYCO001321,207
MYCO001322,85
MYCO001323,358
MYCO001324,282
MYCO001325,522
MYCO001326,686
MYCO001327,662
MYCO001328,805
MYCO001329,599
MYCO001330,409
MYCO001331,96
MYCO001332,205
MYCO001333,323
MYCO001334,138
MYCO001335,81
MYCO001336,300
MYCO001337,222
MYCO001338,257
MYCO001339,255
MYCO001340,247
MYCO001341,193
MYCO001342,107
MYCO001343,103
MYCO001344,97
MYCO001345,485
MYCO001346,370
MYCO001347,191
MYCO001348,805
MYCO001349,554
MYCO001350,226
MYCO001351,93
MYCO001352,105
MYCO001353,238
MYCO001354,559
MYCO001355,642
MYCO001356,229
MYCO001357,275
MYCO001358,1061
MYCO001359,232
MYCO001360,320
MYCO001361,282
MYCO001362,205
MYCO001363,235
MYCO001364,601
MYCO001365,115
MYCO001366,251
MYCO001367,340
MYCO001368,237
MYCO001370,96
MYCO001371,462
MYCO001372,347
MYCO001373,301
MYCO001374,125
MYCO001375,389
MYCO001376,456
MYCO001377,200
MYCO001378,425
MYCO001379,178
MYCO001380,303
MYCO001381,404
MYCO001382,148
MYCO001383,349
MYCO001384,1026
MYCO001385,249
MYCO001386,86
MYCO001387,487
MYCO001388,173
MYCO001389,193
MYCO001390,107
MYCO001391,381
MYCO001392,367
MYCO001393,459
MYCO001394,418
MYCO001395,313
MYCO001396,517
MYCO001397,122
MYCO001398,76
MYCO001399,287
MYCO001400,293
MYCO001401,179
MYCO001402,620
MYCO001403,250
MYCO001404,147
MYCO001405,255
MYCO001406,284
MYCO001407,416
MYCO001408,219
MYCO001409,321
MYCO001410,492
MYCO001411,212
MYCO001412,185
MYCO001413,153
MYCO001414,120
MYCO001415,407
MYCO001416,147
MYCO001417,136
MYCO001418,210
MYCO001419,139
MYCO001420,603
MYCO001421,280
MYCO001422,322
MYCO001423,291
MYCO001424,233
MYCO001425,422
MYCO001426,382
MYCO001427,488
MYCO001428,244
MYCO001429,391
MYCO001430,480
MYCO001431,532
MYCO001432,453
MYCO001433,250
MYCO001434,41
MYCO001435,175
MYCO001436,327
MYCO001437,387
MYCO001438,243
MYCO001439,128
MYCO001440,71
MYCO001441,366
MYCO001442,682
MYCO001443,147
MYCO001444,124
MYCO001445,225
MYCO001446,267
MYCO001447,451
MYCO001448,345
MYCO001449,639
MYCO001450,1324
MYCO001451,289
MYCO001452,653
MYCO001453,380
MYCO001454,292
MYCO001455,258
MYCO001456,282
MYCO001457,242
MYCO001458,286
MYCO001459,552
MYCO001460,254
MYCO001461,787
MYCO001462,367
MYCO001463,253
MYCO001464,384
MYCO001465,153
MYCO001466,110
MYCO001467,372
MYCO001468,326
MYCO001469,600
MYCO001470,116
MYCO001471,116
MYCO001472,254
MYCO001473,505
MYCO001474,176
MYCO001475,894
MYCO001476,170
MYCO001477,444
MYCO001478,224
MYCO001479,352
MYCO001480,290
MYCO001481,314
MYCO001482,249
MYCO001483,237
MYCO001484,248
MYCO001485,329
MYCO001486,264
MYCO001487,138
MYCO001488,358
MYCO001489,109
MYCO001490,378
MYCO001491,233
MYCO001492,554
MYCO001493,703
MYCO001494,96
MYCO001495,93
MYCO001496,315
MYCO001497,386
MYCO001498,177
MYCO001499,121
MYCO001500,303
MYCO001501,249
MYCO001502,262
MYCO001504,183
MYCO001505,190
MYCO001506,149
MYCO001507,204
MYCO001508,541
MYCO001509,263
MYCO001510,277
MYCO001511,308
MYCO001512,296
MYCO001513,227
MYCO001514,241
MYCO001515,269
MYCO001516,304
MYCO001517,233
MYCO001518,288
MYCO001519,84
MYCO001520,322
MYCO001521,539
MYCO001522,1045
MYCO001523,316
MYCO001524,381
MYCO001525,229
MYCO001526,384
MYCO001527,1867
MYCO001528,152
MYCO001529,531
MYCO001530,323
MYCO001531,176
MYCO001532,129
MYCO001533,348
MYCO001534,205
MYCO001535,72
MYCO001536,956
MYCO001537,420
MYCO001538,293
MYCO001539,189
MYCO001540,277
MYCO001541,180
MYCO001542,119
MYCO001543,312
